行 ID,订单ID,产品id,客户 ID,发货日期,国家,地区,城市,子类别,客户名称,省/自治区,类别,细分,订单日期,销售经理,利润,折扣,数量,是否退回,计划发货天数,销售额,实际发货时间,利润异常值标记,是否超时,销售额异常值标记
16,5834678,冬装—毛衣—0979,麦虢-13510,2024-1-10,中国,华东,上海,毛衣,麦虢,上海,冬装,公司,2024-1-3,杨洪光,691.74,0,3,0,6,6919.08,7,1,1,1
17,5834678,秋装—秋衣—2874,麦虢-13510,2024-1-10,中国,华东,上海,秋衣,麦虢,上海,秋装,公司,2024-1-3,杨洪光,414.4,0,8,0,6,2074.24,7,0,1,0
18,4752200,冬装—棉袜—4429,麦虢-13510,2024-1-5,中国,中南,钟祥,棉袜,麦虢,湖北,冬装,公司,2024-1-3,王倩倩,-274.008,0.4,6,0,1,586.152,2,0,1,0
19,4150128,冬装—毛衣—0979,洪毅-12490,2024-1-8,中国,华东,宁波,毛衣,洪毅,浙江,冬装,公司,2024-1-3,杨洪光,-206.864,0.4,4,0,3,729.456,5,0,1,0
20,4150128,夏装—短袖—1460,洪毅-12490,2024-1-8,中国,华东,宁波,短袖,洪毅,浙江,夏装,公司,2024-1-3,杨洪光,-195.496,0.4,1,0,3,418.824,5,0,1,0
21,5525339,夏装—短袖—1460,俞毅-12520,2024-1-8,中国,华东,江口,短袖,俞毅,福建,夏装,消费者,2024-1-3,杨洪光,23.24,0,1,0,3,388.64,5,0,1,0
22,5525339,秋装—秋裤—4759,俞毅-12520,2024-1-8,中国,华东,江口,秋裤,俞毅,福建,秋装,消费者,2024-1-3,杨洪光,793.38,0,3,0,3,2034.9,5,1,1,0
23,5525339,秋装—裤子—2893,俞毅-12520,2024-1-8,中国,华东,江口,裤子,俞毅,福建,秋装,消费者,2024-1-3,杨洪光,9808.82,0,7,0,3,20871.06,5,1,1,1
24,5165630,秋装—秋裤—4759,牛惠-14410,2024-1-10,中国,东北,桓仁,秋裤,牛惠,辽宁,秋装,小型企业,2024-1-4,郝杰,95.704,0.4,2,0,6,822.024,6,0,0,0
25,5165630,冬装—毛衣—0979,牛惠-14410,2024-1-10,中国,东北,桓仁,毛衣,牛惠,辽宁,冬装,小型企业,2024-1-4,郝杰,700.308,0.4,7,0,6,10514.028,6,1,0,1
26,5165630,秋装—裤子—2893,牛惠-14410,2024-1-10,中国,东北,桓仁,裤子,牛惠,辽宁,秋装,小型企业,2024-1-4,郝杰,-1832.096,0.4,2,0,6,3663.744,6,-1,0,0
27,1103148,冬装—围巾—1047,白婵-10975,2024-1-7,中国,华东,南通,围巾,白婵,江苏,冬装,公司,2024-1-4,杨洪光,1277.64,0,3,0,1,2777.88,3,1,1,0
28,1103148,冬装—棉袜—4429,白婵-10975,2024-1-7,中国,华东,南通,棉袜,白婵,江苏,冬装,公司,2024-1-4,杨洪光,-40.152,0.4,1,0,1,82.908,3,0,1,0
29,3192892,夏装—短裤—0339,佘宁-18730,2024-1-9,中国,西南,开远,短裤,佘宁,云南,夏装,消费者,2024-1-4,姜伟,970.2,0,3,0,6,1980.3,5,1,-1,0
30,3192892,夏装—短袖—1460,佘宁-18730,2024-1-9,中国,西南,开远,短袖,佘宁,云南,夏装,消费者,2024-1-4,姜伟,1396.08,0,4,0,6,3246.88,5,1,-1,0
31,3825454,秋装—秋裤—4759,许娜-18490,2024-1-9,中国,华北,保定,秋裤,许娜,河北,秋装,小型企业,2024-1-4,张怡莲,439.6,0,2,0,6,2443.28,5,0,-1,0
32,3825454,秋装—裤子—2893,许娜-18490,2024-1-9,中国,华北,保定,裤子,许娜,河北,秋装,小型企业,2024-1-4,张怡莲,1841,0,2,0,6,5938.8,5,1,-1,1
33,4795502,冬装—冲锋衣—0344,刘明-18295,2024-1-7,中国,中南,惠州,冲锋衣,刘明,广东,冬装,公司,2024-1-5,王倩倩,42.84,0,9,0,1,365.4,2,0,1,0
34,5490018,夏装—短袖—1460,高凤-12865,2024-1-8,中国,中南,深圳,短袖,高凤,广东,夏装,消费者,2024-1-5,王倩倩,74.816,0.1,1,0,1,561.456,3,0,1,0
35,5784606,冬装—棉袜—4429,邵伟-21565,2024-1-9,中国,西南,万县,棉袜,邵伟,重庆,冬装,公司,2024-1-5,姜伟,67.2,0,2,0,6,481.04,4,0,-1,0
36,1708265,冬装—冲锋衣—0344,陶丽-17665,2024-1-9,中国,中南,深圳,冲锋衣,陶丽雪,广东,冬装,公司,2024-1-5,王倩倩,229.32,0,14,0,6,458.64,4,0,-1,0
37,4240650,夏装—短裤—0339,尹凤-13045,2024-1-11,中国,中南,深圳,短裤,尹凤,广东,夏装,公司,2024-1-6,王倩倩,2167.62,0,3,0,3,5419.26,5,1,1,1
38,5579979,冬装—保暖内衣—1614,巩安-10180,2024-1-11,中国,中南,江门,保暖内衣,巩安,广东,冬装,小型企业,2024-1-6,王倩倩,41.58,0,3,0,3,138.6,5,0,1,0
39,5488732,秋装—裤子—2893,涂博-10585,2024-1-12,中国,西南,成都,裤子,涂博,四川,秋装,消费者,2024-1-6,姜伟,-267.904,0.4,2,0,6,401.856,6,0,0,0
40,2852208,冬装—棉袜—4429,贺宁-18700,2024-1-7,中国,华北,秦皇岛,棉袜,贺宁,河北,冬装,消费者,2024-1-6,张怡莲,37.8,0,3,0,1,315.84,1,0,0,0
41,2089373,夏装—短袖—1460,谢斯-20950,2024-1-7,中国,华东,湖州,短袖,谢斯云,浙江,夏装,公司,2024-1-6,杨洪光,-84.392,0.4,2,0,1,562.128,1,0,0,0
42,2098822,秋装—秋衣—2874,常明-18340,2024-1-8,中国,中南,阳江,秋衣,常明媚,广东,秋装,消费者,2024-1-6,王倩倩,375.06,0,3,0,3,1137.78,2,0,-1,0
43,4800042,冬装—棉衣—3093,卢芳-12775,2024-1-8,中国,中南,珠海,棉衣,卢芳,广东,冬装,消费者,2024-1-6,王倩倩,119,0,5,0,1,341.6,2,0,1,0
44,5172330,冬装—围巾—1047,廖乐-17770,2024-1-9,中国,华北,保定,围巾,廖乐,河北,冬装,消费者,2024-1-6,张怡莲,154.84,0,7,0,3,352.8,3,0,0,0
45,4347325,冬装—保暖内衣—1614,贾松-20590,2024-1-9,中国,华东,栖霞,保暖内衣,贾松,山东,冬装,消费者,2024-1-6,杨洪光,12.6,0,3,0,1,633.36,3,0,1,0
46,4347325,冬装—羽绒服—0928,贾松-20590,2024-1-9,中国,华东,栖霞,羽绒服,贾松,山东,冬装,消费者,2024-1-6,杨洪光,82.32,0,2,0,1,164.92,3,0,1,0
47,4347325,冬装—帽子—1898,贾松-20590,2024-1-9,中国,华东,栖霞,帽子,贾松,山东,冬装,消费者,2024-1-6,杨洪光,32.76,0,2,0,1,117.32,3,0,1,0
48,5172330,冬装—围巾—1047,廖乐-17770,2024-1-9,中国,华北,保定,围巾,廖乐,河北,冬装,消费者,2024-1-6,张怡莲,1826.3,0,5,0,3,4937.8,3,1,0,1
49,5956361,冬装—手套—0574,贺伟-21490,2024-1-10,中国,华北,廊坊,手套,贺伟,河北,冬装,消费者,2024-1-7,张怡莲,145.6,0,5,0,3,607.6,3,0,0,0
50,5956361,冬装—手套—0574,贺伟-21490,2024-1-10,中国,华北,廊坊,手套,贺伟,河北,冬装,消费者,2024-1-7,张怡莲,138.6,0,5,0,3,1160.6,3,0,0,0
51,4121606,秋装—秋衣—2874,楚伟-21445,2024-1-12,中国,东北,哈尔滨,秋衣,楚伟,黑龙江,秋装,公司,2024-1-7,郝杰,2067.8,0,5,0,6,5744.9,5,1,-1,1
52,4121606,夏装—短裙—2151,楚伟-21445,2024-1-12,中国,东北,哈尔滨,短裙,楚伟,黑龙江,夏装,公司,2024-1-7,郝杰,481.355,0.25,1,0,6,1504.335,5,0,-1,0
53,1887568,夏装—短袖—1460,蒋宣-20830,2024-1-14,中国,中南,唐河,短袖,蒋宣,河南,夏装,消费者,2024-1-7,王倩倩,331.128,0.1,3,0,6,1064.448,7,0,1,0
54,5165630,秋装—秋衣—2874,柯婷-21100,2024-1-9,中国,中南,湛江,秋衣,柯婷,广东,秋装,消费者,2024-1-7,王倩倩,198.24,0,2,0,1,496.16,2,0,1,0
55,5035540,冬装—保暖内衣—1614,徐安-10150,2024-1-9,中国,中南,南阳,保暖内衣,徐安,河南,冬装,消费者,2024-1-7,王倩倩,166.32,0,3,0,3,333.06,2,0,-1,0
56,1154983,冬装—帽子—1898,万达-11815,2024-1-10,中国,华东,镇江,帽子,万达侠,江苏,冬装,公司,2024-1-8,杨洪光,-7.084,0.4,1,0,1,139.356,2,0,1,0
57,4080057,秋装—裤子—2893,白立-16660,2024-1-12,中国,东北,营口,裤子,白立荣,辽宁,秋装,消费者,2024-1-8,郝杰,-421.008,0.4,4,0,6,901.152,4,-1,-1,0
58,4080057,冬装—手套—0574,白立-16660,2024-1-12,中国,东北,营口,手套,白立荣,辽宁,冬装,消费者,2024-1-8,郝杰,-492.8,0.8,8,0,6,189.28,4,-1,-1,0
59,4080057,冬装—毛衣—0979,白立-16660,2024-1-12,中国,东北,营口,毛衣,白立荣,辽宁,冬装,消费者,2024-1-8,郝杰,-1553.216,0.4,4,0,6,3450.384,4,-1,-1,0
60,2162302,夏装—短裤—0339,薛君-15205,2024-1-12,中国,华东,济南,短裤,薛君,山东,夏装,消费者,2024-1-8,杨洪光,622.16,0,2,0,6,1382.92,4,0,-1,0
61,4794169,夏装—短裙—2151,楚松-20605,2024-1-12,中国,东北,尚志,短裙,楚松,黑龙江,夏装,消费者,2024-1-8,郝杰,92.05,0.25,2,0,6,3461.01,4,0,-1,0
62,2554132,冬装—棉衣—3093,洪毅-12490,2024-1-10,中国,中南,武汉,棉衣,洪毅,湖北,冬装,公司,2024-1-9,王倩倩,-43.96,0.4,5,0,1,185.64,1,0,0,0
63,2055991,冬装—冲锋衣—0344,赖虎-14035,2024-1-11,中国,华东,寿光,冲锋衣,赖虎,山东,冬装,公司,2024-1-9,杨洪光,6.16,0,2,0,1,103.6,2,0,1,0
64,2055991,夏装—短裤—0339,赖虎-14035,2024-1-11,中国,华东,寿光,短裤,赖虎,山东,夏装,公司,2024-1-9,杨洪光,617.12,0,2,0,1,1342.04,2,0,1,0
65,2055991,冬装—棉衣—3093,赖虎-14035,2024-1-11,中国,华东,寿光,棉衣,赖虎,山东,冬装,公司,2024-1-9,杨洪光,32.34,0,1,0,1,67.62,2,0,1,0
66,2977814,冬装—围巾—1047,赵幂-18055,2024-1-12,中国,华东,青岛,围巾,赵幂,山东,冬装,消费者,2024-1-9,杨洪光,48.72,0,3,0,3,157.5,3,0,0,0
67,3781306,冬装—保暖内衣—1614,葛乐-17755,2024-1-13,中国,中南,开封,保暖内衣,葛乐,河南,冬装,小型企业,2024-1-9,王倩倩,80.64,0,6,0,6,541.8,4,0,-1,0
68,5181244,冬装—棉衣—3093,巩嘉-14500,2024-1-14,中国,西北,银川,棉衣,巩嘉丽,宁夏,冬装,消费者,2024-1-9,江奕健,27.3,0,1,0,6,65.24,5,0,-1,0
69,5181244,冬装—棉袜—4429,巩嘉-14500,2024-1-14,中国,西北,银川,棉袜,巩嘉丽,宁夏,冬装,消费者,2024-1-9,江奕健,50.4,0,5,0,6,631.4,5,0,-1,0
70,3478143,秋装—秋衣—2874,唐栋-12325,2024-1-14,中国,东北,海林,秋衣,唐栋,黑龙江,秋装,小型企业,2024-1-9,郝杰,325.92,0,3,0,3,3622.5,5,0,1,0
71,3478143,冬装—冲锋衣—0344,唐栋-12325,2024-1-14,中国,东北,海林,冲锋衣,唐栋,黑龙江,冬装,小型企业,2024-1-9,郝杰,21.56,0,2,0,3,60.48,5,0,1,0
72,4080057,冬装—冲锋衣—0344,周康-15340,2024-1-10,中国,西北,肃州,冲锋衣,周康,甘肃,冬装,消费者,2024-1-10,江奕健,11.48,0,2,0,0,104.44,0,0,0,0
73,3069391,夏装—短裤—0339,戴康-15415,2024-1-12,中国,华北,天津,短裤,戴康,天津,夏装,消费者,2024-1-10,张怡莲,380.1,0,3,0,1,2716.56,2,0,1,0
74,4985754,冬装—帽子—1898,常升-20020,2024-1-14,中国,华东,温岭,帽子,常升,浙江,冬装,消费者,2024-1-10,杨洪光,-40.32,0.4,3,0,6,114.66,4,0,-1,0
75,4985754,冬装—棉袜—4429,常升-20020,2024-1-14,中国,华东,温岭,棉袜,常升,浙江,冬装,消费者,2024-1-10,杨洪光,-250.88,0.4,4,0,6,441.84,4,0,-1,0
76,1498954,冬装—棉衣—3093,常光-13345,2024-1-14,中国,东北,抚顺,棉衣,常光,辽宁,冬装,公司,2024-1-10,郝杰,-63.504,0.4,3,1,6,135.576,4,0,-1,0
77,5703090,冬装—围巾—1047,严珑-17890,2024-1-14,中国,华北,天津,围巾,严珑,天津,冬装,小型企业,2024-1-10,张怡莲,754.6,0,2,0,3,1935.36,4,1,1,0
78,5703090,夏装—短袖—1460,严珑-17890,2024-1-14,中国,华北,天津,短袖,严珑,天津,夏装,小型企业,2024-1-10,张怡莲,131.32,0,2,0,3,1644.44,4,0,1,0
79,3777715,冬装—帽子—1898,彭欢-14230,2024-1-14,中国,西南,重庆,帽子,彭欢,重庆,冬装,公司,2024-1-10,姜伟,5.04,0,9,0,6,287.28,4,0,-1,0
80,3777715,冬装—毛衣—0979,彭欢-14230,2024-1-14,中国,西南,重庆,毛衣,彭欢,重庆,冬装,公司,2024-1-10,姜伟,624.96,0,8,0,6,2842.56,4,0,-1,0
81,4985754,夏装—长裙—2425,常升-20020,2024-1-14,中国,华东,温岭,长裙,常升,浙江,夏装,消费者,2024-1-10,杨洪光,-63.672,0.4,2,0,6,634.368,4,0,-1,0
82,1246652,秋装—秋衣—2874,唐栋-12325,2024-1-14,中国,西北,铜川,秋衣,唐栋,陕西,秋装,小型企业,2024-1-10,江奕健,125.58,0,3,0,3,968.1,4,0,1,0
83,1246652,冬装—毛衣—0979,唐栋-12325,2024-1-14,中国,西北,铜川,毛衣,唐栋,陕西,冬装,小型企业,2024-1-10,江奕健,173.18,0,1,0,3,1443.82,4,0,1,0
84,2190451,夏装—长裙—2425,余毅-12535,2024-1-15,中国,华东,苏州,长裙,余毅,江苏,夏装,公司,2024-1-10,杨洪光,-59.22,0.4,5,0,6,705.18,5,0,-1,0
85,3773206,冬装—帽子—1898,曹冬-12445,2024-1-15,中国,西北,西安,帽子,曹冬露,陕西,冬装,消费者,2024-1-10,江奕健,51.66,0,3,0,6,156.66,5,0,-1,0
86,1384966,冬装—围巾—1047,麦磊-16060,2024-1-11,中国,东北,双阳,围巾,麦磊,吉林,冬装,消费者,2024-1-11,郝杰,13.16,0,2,0,0,1321.6,0,0,0,0
87,5308381,冬装—手套—0574,邢良-17140,2024-1-13,中国,中南,唐河,手套,邢良,河南,冬装,消费者,2024-1-11,王倩倩,15.428,0.2,1,0,3,56.448,2,0,-1,0
88,5895003,冬装—羽绒服—0928,方蔓-17950,2024-1-15,中国,东北,牡丹江,羽绒服,方蔓楚,黑龙江,冬装,消费者,2024-1-11,郝杰,105.84,0,7,1,3,508.62,4,0,1,0
89,4178476,冬装—冲锋衣—0344,倪爽-20545,2024-1-15,中国,华东,南昌,冲锋衣,倪爽,江西,冬装,公司,2024-1-11,杨洪光,49.7,0,5,0,6,199.5,4,0,-1,0
90,5895003,冬装—羽绒服—0928,方蔓-17950,2024-1-15,中国,东北,牡丹江,羽绒服,方蔓楚,黑龙江,冬装,消费者,2024-1-11,郝杰,65.94,0,1,0,3,219.8,4,0,1,0
91,3275681,冬装—围巾—1047,常松-20575,2024-1-16,中国,西北,西安,围巾,常松,陕西,冬装,消费者,2024-1-11,江奕健,106.4,0,1,0,3,626.08,5,0,1,0
92,2373769,冬装—棉袜—4429,徐关-15655,2024-1-17,中国,东北,庄河,棉袜,徐关茵,辽宁,冬装,公司,2024-1-11,郝杰,-10.584,0.4,3,0,6,208.656,6,0,0,0
93,4988987,冬装—手套—0574,常光-13345,2024-1-14,中国,华东,合肥,手套,常光,安徽,冬装,公司,2024-1-12,杨洪光,-94.78,0.2,5,0,1,541.52,2,0,1,0
94,4988987,冬装—羽绒服—0928,常光-13345,2024-1-14,中国,华东,合肥,羽绒服,常光,安徽,冬装,公司,2024-1-12,杨洪光,68.32,0,1,0,1,139.58,2,0,1,0
95,4988987,夏装—长裙—2425,常光-13345,2024-1-14,中国,华东,合肥,长裙,常光,安徽,夏装,公司,2024-1-12,杨洪光,213.78,0,3,0,1,792.12,2,0,1,0
96,2352370,冬装—羽绒服—0928,杨立-16600,2024-1-14,中国,华东,济南,羽绒服,杨立勤,山东,冬装,公司,2024-1-12,杨洪光,30.24,0,3,0,3,191.1,2,0,-1,0
97,4988987,冬装—羽绒服—0928,常光-13345,2024-1-14,中国,华东,合肥,羽绒服,常光,安徽,冬装,公司,2024-1-12,杨洪光,88.2,0,3,0,1,369.18,2,0,1,0
98,1120887,冬装—围巾—1047,俞丹-12025,2024-1-14,中国,华东,椒江,围巾,俞丹,浙江,冬装,消费者,2024-1-12,杨洪光,29.4,0,1,0,3,81.76,2,0,-1,0
99,2766233,冬装—保暖内衣—1614,贺虹-13810,2024-1-14,中国,华北,天津,保暖内衣,贺虹,天津,冬装,公司,2024-1-12,张怡莲,25.9,0,1,0,1,235.48,2,0,1,0
100,5493255,秋装—裤子—2893,何芯-13945,2024-1-17,中国,西南,重庆,裤子,何芯,重庆,秋装,消费者,2024-1-12,姜伟,150.92,0,2,0,3,1162.28,5,0,1,0
101,2975416,冬装—棉袜—4429,潘雯-21775,2024-1-17,中国,东北,七台河,棉袜,潘雯,黑龙江,冬装,公司,2024-1-12,郝杰,100.8,0,3,1,6,721.56,5,0,-1,0
102,1756643,秋装—裤子—2893,邵绅-19990,2024-1-17,中国,中南,武汉,裤子,邵绅,湖北,秋装,消费者,2024-1-12,王倩倩,-9.492,0.4,3,0,6,547.848,5,0,-1,0
103,5703090,冬装—棉袜—4429,潘丽-16240,2024-1-17,中国,华东,沂水,棉袜,潘丽美,山东,冬装,公司,2024-1-12,杨洪光,1159.2,0,12,0,6,2368.8,5,1,-1,0
104,2547654,夏装—长裙—2425,邱荷-13690,2024-1-19,中国,东北,鹤岗,长裙,邱荷,黑龙江,夏装,消费者,2024-1-12,郝杰,4.76,0,2,0,6,479.64,7,0,1,0
105,5631342,冬装—围巾—1047,马丽-16480,2024-1-13,中国,华北,北京,围巾,马丽娜,北京,冬装,消费者,2024-1-13,张怡莲,66.92,0,2,0,0,163.24,0,0,0,0
106,5631342,夏装—短袖—1460,马丽-16480,2024-1-13,中国,华北,北京,短袖,马丽娜,北京,夏装,消费者,2024-1-13,张怡莲,541.52,0,4,0,0,1083.04,0,0,0,0
107,5698942,冬装—棉衣—3093,常光-13345,2024-1-17,中国,中南,常德,棉衣,常光,湖南,冬装,公司,2024-1-13,王倩倩,121.8,0,5,1,6,435.4,4,0,-1,0
108,4375818,秋装—裤子—2893,何安-10135,2024-1-18,中国,华东,泰州,裤子,何安,江苏,秋装,小型企业,2024-1-13,杨洪光,-484.792,0.4,2,0,6,765.408,5,-1,-1,0
109,3438839,秋装—裤子—2893,付松-20650,2024-1-18,中国,华东,烟台,裤子,付松,山东,秋装,公司,2024-1-13,杨洪光,275.52,0,4,0,6,2298.8,5,0,-1,0
110,5579550,冬装—棉袜—4429,施莲-17065,2024-1-20,中国,东北,明月,棉袜,施莲,吉林,冬装,消费者,2024-1-13,郝杰,58.52,0,1,0,6,150.36,7,0,1,0
111,5834341,夏装—短袖—1460,丁崆-15535,2024-1-16,中国,华北,咸水沽,短袖,丁崆,天津,夏装,消费者,2024-1-14,张怡莲,802.2,0,6,0,1,1744.68,2,1,1,0
112,5648514,夏装—长裙—2425,贺平-19105,2024-1-18,中国,华东,阜阳,长裙,贺平,安徽,夏装,消费者,2024-1-14,杨洪光,21,0,1,0,6,234.36,4,0,-1,0
113,5956361,冬装—帽子—1898,薛柏-18985,2024-1-18,中国,东北,大庆,帽子,薛柏,黑龙江,冬装,小型企业,2024-1-14,郝杰,39.9,0,3,0,6,212.1,4,0,-1,0
114,2491194,冬装—帽子—1898,邓秋-11590,2024-1-19,中国,西南,内江,帽子,邓秋,四川,冬装,公司,2024-1-14,姜伟,-30.24,0.4,5,0,3,221.76,5,0,1,0
115,2923559,夏装—短裤—0339,罗君-15235,2024-1-17,中国,华北,天津,短裤,罗君,天津,夏装,消费者,2024-1-15,张怡莲,166.6,0,1,0,1,666.54,2,0,1,0
116,1597983,冬装—帽子—1898,黄磊-16015,2024-1-19,中国,东北,沈阳,帽子,黄磊,辽宁,冬装,消费者,2024-1-15,郝杰,-22.4,0.4,2,0,6,44.52,4,0,-1,0
117,1597983,冬装—手套—0574,黄磊-16015,2024-1-19,中国,东北,沈阳,手套,黄磊,辽宁,冬装,消费者,2024-1-15,郝杰,-560.364,0.8,7,0,6,319.676,4,-1,-1,0
118,3561948,秋装—外套—4928,马锦-14890,2024-1-20,中国,东北,长春,外套,马锦,吉林,秋装,公司,2024-1-15,郝杰,476.28,0,7,0,6,2382.38,5,0,-1,0
119,3561948,冬装—帽子—1898,马锦-14890,2024-1-20,中国,东北,长春,帽子,马锦,吉林,冬装,公司,2024-1-15,郝杰,91.56,0,2,0,6,255.08,5,0,-1,0
120,5533473,冬装—棉袜—4429,贾君-15160,2024-1-20,中国,西南,重庆,棉袜,贾君,重庆,冬装,消费者,2024-1-15,姜伟,90.16,0,7,0,3,756.56,5,0,1,0
121,3381572,冬装—帽子—1898,黄雯-21715,2024-1-20,中国,华北,包头,帽子,黄雯,内蒙古,冬装,小型企业,2024-1-15,张怡莲,-46.284,0.4,3,0,6,125.496,5,0,-1,0
122,3561948,冬装—手套—0574,马锦-14890,2024-1-20,中国,东北,长春,手套,马锦,吉林,冬装,公司,2024-1-15,郝杰,74.76,0.2,6,0,6,352.8,5,0,-1,0
123,3694355,冬装—棉衣—3093,廖宣-20905,2024-1-20,中国,西北,西安,棉衣,廖宣,陕西,冬装,消费者,2024-1-16,江奕健,82.32,0,6,0,6,393.96,4,0,-1,0
124,3127854,冬装—帽子—1898,周康-15340,2024-1-20,中国,华东,南昌,帽子,周康,江西,冬装,消费者,2024-1-16,杨洪光,23.52,0,2,0,3,124.32,4,0,1,0
125,3127854,冬装—帽子—1898,周康-15340,2024-1-20,中国,华东,南昌,帽子,周康,江西,冬装,消费者,2024-1-16,杨洪光,1.26,0,3,0,3,68.46,4,0,1,0
126,5339863,冬装—帽子—1898,涂博-10585,2024-1-21,中国,中南,长沙,帽子,涂博,湖南,冬装,消费者,2024-1-16,王倩倩,218.4,0,2,0,6,474.88,5,0,-1,0
127,5339863,秋装—秋衣—2874,涂博-10585,2024-1-21,中国,中南,长沙,秋衣,涂博,湖南,秋装,消费者,2024-1-16,王倩倩,164.64,0,3,0,6,1177.26,5,0,-1,0
128,4173980,夏装—长裙—2425,谢雯-21700,2024-1-19,中国,中南,武汉,长裙,谢雯,湖北,夏装,小型企业,2024-1-17,王倩倩,-170.184,0.4,3,0,3,463.176,2,0,-1,0
129,5339863,冬装—毛衣—0979,徐谙-18880,2024-1-22,中国,西南,北碚,毛衣,徐谙,重庆,冬装,消费者,2024-1-17,姜伟,171.64,0,2,0,6,780.64,5,0,-1,0
130,2295401,夏装—长裙—2425,曹伟-21580,2024-1-22,中国,中南,桂林,长裙,曹伟,广西,夏装,消费者,2024-1-17,王倩倩,378,0,5,0,6,1023.4,5,0,-1,0
131,4736051,冬装—帽子—1898,杨健-14605,2024-1-22,中国,西北,肃州,帽子,杨健,甘肃,冬装,消费者,2024-1-17,江奕健,-285.04,0.4,4,0,3,551.04,5,0,1,0
132,2295401,冬装—毛衣—0979,曹伟-21580,2024-1-22,中国,中南,桂林,毛衣,曹伟,广西,冬装,消费者,2024-1-17,王倩倩,329,0,2,0,6,889.56,5,0,-1,0
133,5586841,冬装—手套—0574,薛梦-18190,2024-1-22,中国,华东,徐州,手套,薛梦,江苏,冬装,消费者,2024-1-17,杨洪光,-145.824,0.8,3,0,6,74.676,5,0,-1,0
134,4902997,秋装—秋裤—4759,孔辉-12610,2024-1-24,中国,东北,大连,秋裤,孔辉,辽宁,秋装,公司,2024-1-17,郝杰,-44.604,0.4,3,0,6,2659.356,7,0,1,0
135,3969050,夏装—短裤—0339,施奇-11410,2024-1-20,中国,西南,绵阳,短裤,施奇,四川,夏装,消费者,2024-1-18,姜伟,-1233.288,0.4,6,0,1,6162.912,2,-1,1,1
136,3969050,冬装—毛衣—0979,施奇-11410,2024-1-20,中国,西南,绵阳,毛衣,施奇,四川,冬装,消费者,2024-1-18,姜伟,-774.48,0.4,2,0,1,1548.96,2,-1,1,0
